id_pedido,fecha_pedido,id_cliente,id_metodo_pago,id_empleado
1,2024-07-01,1,1,3
2,2024-07-02,2,2,7
3,2024-07-03,3,3,12
4,2024-07-04,4,4,18
5,2024-07-05,5,5,23
6,2024-07-06,6,1,3
7,2024-07-07,7,2,7
8,2024-07-08,8,3,12
9,2024-07-09,9,4,18
10,2024-07-10,10,5,23
11,2024-07-11,11,1,3
12,2024-07-12,12,2,7
13,2024-07-13,13,3,12
14,2024-07-14,14,4,18
15,2024-07-15,15,5,23
16,2024-07-16,16,1,3
17,2024-07-17,17,1,7
18,2024-07-18,18,2,12
19,2024-07-19,19,3,18
20,2024-07-20,20,4,23
21,2024-07-21,21,5,23
22,2024-07-22,22,1,18
23,2024-07-23,23,2,12
24,2024-07-24,24,3,7
25,2024-08-01,17,2,3
26,2024-08-02,18,3,3
27,2024-08-03,19,4,7
28,2024-08-04,20,5,12
29,2024-08-05,21,1,18
30,2024-08-06,22,2,23
31,2024-08-07,23,3,3
32,2024-08-08,24,4,7
33,2024-08-09,17,5,12
34,2024-08-10,18,1,18
35,2024-08-11,19,2,23
36,2024-08-12,20,3,3
37,2024-08-13,21,4,7
38,2024-08-14,22,5,12
39,2024-08-15,23,1,18
40,2024-08-16,24,2,23
41,2024-08-17,18,1,3
42,2024-08-18,19,2,7
43,2024-08-19,20,3,12
44,2024-08-20,21,4,18
45,2024-08-21,22,5,23
46,2024-08-22,23,1,3
47,2024-08-23,24,2,7
