id_producto,nombre,precio_unitario,id_categoria
1,Martillo,25.50,2
2,Destornillador,15.00,2
3,Silla,100.00,3
4,Maceta,8.75,4
5,Clavos,3.50,2
6,Refrigerador,750.00,6
7,Taladro,120.00,7
8,Lámpara,45.00,8
9,Cámara de Seguridad,200.00,9
10,Pelota de Fútbol,30.00,10
11,Microondas,180.00,11
12,Cámara Digital,350.00,12
13,Escritorio,200.00,13
14,Ordenador Portátil,1200.00,14
15,Camiseta,25.00,15
16,Muñeca,45.00,16
17,Aspiradora,220.00,11
18,Smartphone,800.00,12
19,Silla de Oficina,150.00,13
20,Tableta,500.00,14
21,Jersey,60.00,15
22,Triciclo,85.00,16
23,Proyector,400.00,12
24,Altavoz Bluetooth,90.00,12
25,Teclado Mecánico,120.00,17
26,Monitor 24 pulgadas,250.00,18
